コード,銘柄名,順位
7172.T,ジャパンインベストメントアドバイザー,628
2332.T,クエスト,629
8897.T,ＭＩＲＡＲＴＨホールディングス,630
4361.T,川口化学工業,631
7187.T,ジェイリース,632
4719.T,アルファシステムズ,633
9746.T,ＴＫＣ,634
423A.T,ライオン事務器,635
2705.T,大戸屋ホールディングス,636
7927.T,ムトー精工,637
5819.T,カナレ電気,638
8410.T,セブン銀行,639
7482.T,シモジマ,640
2587.T,サントリー食品インターナショナル,641
5902.T,ホッカンホールディングス,642
7988.T,ニフコ,643
8616.T,東海東京フィナンシャル・ホールディングス,644
9960.T,東テク,645
2984.T,ヤマイチエステート,646
9424.T,日本通信,647
8217.T,オークワ,648
8869.T,明和地所,649
4674.T,クレスコ,650
6523.T,ＰＨＣホールディングス,651
4220.T,リケンテクノス,652
8159.T,立花エレテック,653
2809.T,キユーピー,654
7272.T,ヤマハ発動機,655
8097.T,三愛オブリ,656
7994.T,オカムラ,657
5989.T,エイチワン,658
8179.T,ロイヤルホールディングス,659
3491.T,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,660
5891.T,魁力屋,661
3817.T,ＳＲＡホールディングス,662
6807.T,日本航空電子工業,663
9872.T,北恵,664
4452.T,花王,665
1870.T,矢作建設工業,666
3242.T,アーバネットコーポレーション,667
1450.T,ＴＡＮＡＫＥＮ,668
4848.T,フルキャストホールディングス,669
3657.T,ポールトゥウィンホールディングス,670
8014.T,蝶理,671
8011.T,三陽商会,672
7231.T,トピー工業,673
5644.T,メタルアート,674
3179.T,シュッピン,675
8601.T,大和証券グループ本社,676
3837.T,アドソル日進,677
6859.T,エスペック,678
7537.T,丸文,679
2695.T,くら寿司,680
7442.T,中山福,681
6971.T,京セラ,682
9558.T,ジャパニアス,683
1866.T,北野建設,684
3360.T,シップヘルスケアホールディングス,685
4875.T,メディシノバ・インク,686
2918.T,わらべや日洋ホールディングス,687
1930.T,北陸電気工事,688
5351.T,品川リフラ,689
7871.T,フクビ化学工業,690
9301.T,三菱倉庫,691
5901.T,東洋製罐グループホールディングス,692
6309.T,巴工業,693
3093.T,トレジャー・ファクトリー,694
5660.T,神鋼鋼線工業,695
4120.T,スガイ化学工業,696
3708.T,特種東海製紙,697
5632.T,三菱製鋼,698
2281.T,プリマハム,699
2477.T,手間いらず,700
4116.T,大日精化工業,701
6565.T,ＡＢホテル,702
3566.T,ユニフォームネクスト,703
7372.T,デコルテ・ホールディングス,704
372A.T,レント,705
5011.T,ニチレキグループ,706
6149.T,小田原エンジニアリング,707
6182.T,メタリアル,708
4820.T,イーエムシステムズ,709
441A.T,ＮＥ,710
9325.T,ファイズホールディングス,711
8093.T,極東貿易,712
6224.T,ＪＲＣ,713
6339.T,新東工業,714
7414.T,小野建,715
4977.T,新田ゼラチン,716
8275.T,フォーバル,717
4260.T,ハイブリッドテクノロジーズ,718
9332.T,ＮＩＳＳＯホールディングス,719
3045.T,カワサキ,720
9928.T,ミロク情報サービス,721
3591.T,ワコールホールディングス,722
2485.T,ティア,723
7050.T,フロンティアインターナショナル,724
7823.T,アートネイチャー,725
8154.T,加賀電子,726
5269.T,日本コンクリート工業,727
7898.T,ウッドワン,728
8349.T,東北銀行,729
4246.T,ダイキョーニシカワ,730
6104.T,芝浦機械,731
9658.T,ビジネスブレイン太田昭和,732
6036.T,ＫｅｅＰｅｒ技研,733
4936.T,アクシージア,734
4092.T,日本化学工業,735
386A.T,みのや,736
6588.T,東芝テック,737
8018.T,三共生興,738
1888.T,若築建設,739
7570.T,橋本総業ホールディングス,740
6918.T,アバールデータ,741
7095.T,Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,742
3939.T,カナミックネットワーク,743
197A.T,タウンズ,744
5480.T,日本冶金工業,745
9160.T,ノバレーゼ,746
9616.T,共立メンテナンス,747
2440.T,ぐるなび,748
6533.T,Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,749
8020.T,兼松,750
8729.T,ソニーフィナンシャルグループ,751
7202.T,いすゞ自動車,752
8604.T,野村ホールディングス,753
2462.T,ライク,754
6086.T,シンメンテホールディングス,755
3934.T,ベネフィットジャパン,756
6724.T,セイコーエプソン,757
4370.T,モビルス,758
3844.T,コムチュア,759
9265.T,ヤマシタヘルスケアホールディングス,760
5851.T,リョービ,761
4531.T,有機合成薬品工業,762
7066.T,ピアズ,763
2127.T,日本Ｍ＆Ａセンターホールディングス,764
7723.T,愛知時計電機,765
9795.T,ステップ,766
6185.T,ＳＭＮ,767
3611.T,マツオカコーポレーション,768
4707.T,キタック,769
7991.T,マミヤ・オーピー,770
6517.T,デンヨー,771
3116.T,トヨタ紡織,772
6543.T,日宣,773
3302.T,帝国繊維,774
9048.T,名古屋鉄道,775
3407.T,旭化成,776
3010.T,ポラリス・ホールディングス,777
5602.T,栗本鐵工所,778
9902.T,日伝,779
3401.T,帝人,780
3547.T,串カツ田中ホールディングス,781
9740.T,セントラル警備保障,782
6171.T,土木管理総合試験所,783
2108.T,日本甜菜製糖,784
5031.T,モイ,785
3937.T,Ｕｂｉｃｏｍホールディングス,786
7520.T,エコス,787
8931.T,和田興産,788
274A.T,ガーデン,789
1717.T,明豊ファシリティワークス,790
7283.T,愛三工業,791
4838.T,スペースシャワーＳＫＩＹＡＫＩホールディングス,792
3771.T,システムリサーチ,793
9769.T,学究社,794
2267.T,ヤクルト本社,795
5975.T,東プレ,796
3679.T,じげん,797
6245.T,ヒラノテクシード,798
5186.T,ニッタ,799
2410.T,キャリアデザインセンター,800
2499.T,日本和装ホールディングス,801
6658.T,シライ電子工業,802
7021.T,ニッチツ,803
2935.T,ピックルスホールディングス,804
9837.T,モリト,805
7459.T,メディパルホールディングス,806
8035.T,東京エレクトロン,807
2982.T,ＡＤワークスグループ,808
2193.T,クックパッド,809
9142.T,九州旅客鉄道,810
4114.T,日本触媒,811
7177.T,ＧＭＯフィナンシャルホールディングス,812
5248.T,テクノロジーズ,813
9799.T,旭情報サービス,814
1827.T,ナカノフドー建設,815
3910.T,エムケイシステム,816
7326.T,ＳＢＩインシュアランスグループ,817
6420.T,ガリレイ,818
4767.T,テー・オー・ダブリュー,819
208A.T,構造計画研究所ホールディングス,820
4665.T,ダスキン,821
8255.T,アクシアル　リテイリング,822
6473.T,ジェイテクト,823
8127.T,ヤマトインターナショナル,824
1976.T,明星工業,825
3069.T,ＪＦＬＡホールディングス,826
2934.T,ジェイフロンティア,827
7247.T,ミクニ,828
4568.T,第一三共,829
2908.T,フジッコ,830
6552.T,ＧａｍｅＷｉｔｈ,831
8103.T,明和産業,832
