Date,Open,High,Low,Close,Volume,Ticker,Name,Industry,MarketCategory,SharesOutstanding,MarketCap,AvgTradingValue20,VolRatio,OBVGrowth,HighRatio,StayRate,ATRRatio,Absorption,VolRatio_Z,OBVGrowth_Z,HighRatio_Z,StayRate_Z,Absorption_Z,ATR_Z,AccumulationScore,IndustryRankPct
2026-06-01,1284.0,1309.0,1279.0,1301.0,149100.0,7818.T,トランザクション,その他製品,TOPIX Small 2,56543188.0,73562687588.0,184188215.0,0.8386275958302553,0.05144640766958353,0.9454941860465116,0.4,0.9569580142593082,,-0.751117347509414,0.027986641894570004,0.9666116343019436,-0.16571582718559685,0.0,0.7364917480388893,0.0245068637807827,0.42857142857142855
2026-06-01,3485.0,3485.0,3380.0,3395.0,247900.0,8584.T,ジャックス,その他金融業,TOPIX Small 1,44777278.0,152018858810.0,605588800.0,1.543683247225633,-0.2842701923214209,0.7790633278134403,0.26666666666666666,1.3127770669517576,,0.6314804073446448,0.026526451206290512,-0.06526196849919744,-0.8156187797314572,0.0,-0.09964186127378301,0.024124410914486617,0.3333333333333333
2026-06-01,2200.0,2263.0,2175.0,2181.0,310200.0,7224.T,新明和工業,輸送用機器,TOPIX Small 1,66143345.0,144258635445.0,784954855.0,1.3505694582754133,-0.09002184398811741,0.7994868035190615,0.36666666666666664,1.3476587361392098,,0.2527887529971953,0.027371329384663464,0.0613638608801601,-0.3281915653220622,0.0,-0.1816097484227727,0.02400357055204875,0.5161290322580645
2026-06-01,4470.0,4470.0,4251.0,4300.0,375600.0,7988.T,ニフコ,化学,TOPIX Mid400,93125689.0,400440462700.0,1932616675.0,1.5087123231727375,-0.1721539595410695,0.7851802235047054,0.2833333333333333,1.3445669121500332,,0.5629032376063213,0.027014097867537622,-0.027337131351117233,-0.7343809106632248,0.0,-0.17434431973965986,0.02313755501177457,0.42424242424242425
2026-06-01,2701.0,2745.0,2662.0,2699.0,46300.0,4337.T,ぴあ,サービス業,TOPIX Small 2,15346889.0,41421253411.0,136664130.0,1.0113382831644782,0.06523275775017678,0.7225155224690067,0.7333333333333333,1.4135729062275695,,-0.412435701493232,0.028046605268479973,-0.4158591369013708,1.4590415541790536,0.0,-0.33650042255557766,0.022762110562616965,0.5982905982905983
2026-06-01,2706.0,2716.0,2681.0,2682.0,37500.0,6718.T,アイホン,電気機器,TOPIX Small 2,16366833.0,43895846106.0,111073750.0,1.0431971029487843,-0.0679269464915091,0.8817870791605458,0.38333333333333336,1.0525829116695173,,-0.3499612959354489,0.027467430571152016,0.5716266981887181,-0.24695369625382937,0.0,0.5117843019177815,0.02224803395448409,0.25862068965517243
2026-06-01,3360.0,3360.0,3240.0,3280.0,178900.0,9956.T,バローホールディングス,小売業,TOPIX Small 1,52673616.0,172769460480.0,525019725.0,1.232556196206234,0.034097864085727014,0.8210262828535669,0.38333333333333336,1.2090057925338633,,0.021367487375210673,0.02791118485194227,0.19490892805893587,-0.24695369625382937,0.0,0.14420862836541587,0.021468830648771805,0.6972477064220184
2026-06-01,2556.0,2602.0,2517.0,2602.0,52700.0,5304.T,ＳＥＣカーボン,ガラス・土石製品,-,20047645.0,52163972290.0,172037750.0,1.0202124015073655,-0.31152917325064844,0.860164151131043,0.45,1.1504711937675522,,-0.3950337615571391,0.02640788897217426,0.43756424795688287,0.07799778001910071,0.0,0.2817581636300387,0.021143956629502414,0.42857142857142855
2026-06-01,10.0,11.0,10.0,10.0,238632800.0,8918.T,ランド,不動産業,TOPIX Small 2,1537882893.0,15378828930.0,2324778630.0,1.1119687865822223,0.7700130660675852,0.7692307692307693,0.5333333333333333,1.1029411764705883,,-0.21510162180767642,0.031112029032200332,-0.1262239665154883,0.4841871253602633,0.0,0.3934482055557996,0.02105828758486279,0.7115384615384616
2026-06-01,269.0,271.70001220703125,266.20001220703125,271.70001220703125,5826600.0,8410.T,セブン銀行,銀行業,TOPIX Mid400,1167984779.0,317341478711.9267,1524160306.3542175,1.0342176040241966,-0.0033754875868214906,0.8755144600703771,0.4,1.0636856241438548,,-0.36756988474440144,0.027748195475866308,0.5327363738324783,-0.16571582718559685,0.0,0.48569421206991525,0.021019188975018126,0.11627906976744186
2026-06-01,2335.0,2335.0,2291.0,2313.0,245300.0,8803.T,平和不動産,不動産業,TOPIX Small 1,66395258.0,153572231754.0,510049280.0,0.9210862482237947,0.06680973524829725,0.9189511323003575,0.43333333333333335,1.2591254231194984,,-0.5894178455736916,0.028053464291413133,0.8020443371722706,-0.0032400890491318048,0.0,0.026433294802244572,0.020903423496626983,0.6923076923076923
